"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"92";"PV27";"2003JJ00";"     146";"      25";"      33";"      20";"       5";"       6";"      12";"    7728";"    5914";"    1813";"      53";"    2278";"    2571";"    2132";"     439";"    1895";"    1633";"     262";"    3360";"     441"
"93";"PV27";"2005JJ00";"     137";"      24";"      30";"      20";"       7";"       7";"      12";"    7852";"    6102";"    1750";"      57";"    2693";"    2448";"    2122";"     326";"    1761";"    1608";"     153";"    3577";"     451"
"94";"PV27";"2007JJ00";"     143";"      27";"      30";"      18";"       6";"       7";"      12";"    8530";"    6611";"    1920";"      60";"    3138";"    2608";"    2171";"     438";"    1797";"    1564";"     233";"    4180";"     628"
"95";"PV27";"2009JJ00";"     149";"      32";"      23";"      13";"      11";"       9";"      12";"    8714";"    5836";"    2878";"      58";"    2708";"    2837";"    2247";"     590";"    2216";"    1835";"     381";"    4150";"     586"
"96";"PV28";"1995JJ00";"     129";"      31";"      30";"      16";"       9";"       8";"       5";"    3103";"    1916";"    1187";"      24";"       .";"    1510";"    1225";"     285";"    1244";"    1056";"     188";"       .";"       ."
"97";"PV28";"1997JJ00";"     165";"      40";"      25";"      17";"       7";"       7";"       4";"    3279";"    2056";"    1222";"      20";"       .";"    1543";"    1272";"     271";"    1195";"     956";"     238";"       .";"       ."
"98";"PV28";"1999JJ00";"     160";"      32";"      30";"      19";"       9";"       6";"       5";"    3359";"    1916";"    1443";"      21";"     630";"    2059";"    1502";"     557";"    1421";"    1168";"     253";"       .";"       ."
"99";"PV28";"2001JJ00";"     151";"      34";"      28";"      18";"       8";"       6";"       6";"    3368";"    2005";"    1364";"      22";"     482";"    2150";"    1647";"     503";"    1448";"    1183";"     265";"    3328";"     512"
"100";"PV28";"2003JJ00";"     147";"      31";"      28";"      18";"       9";"       7";"       7";"    3691";"    2117";"    1574";"      25";"     616";"    2448";"    1914";"     534";"    1687";"    1382";"     305";"    3393";"     458"
"101";"PV28";"2005JJ00";"     131";"      28";"      30";"      21";"       7";"       8";"       7";"    3249";"    1866";"    1383";"      25";"     665";"    2203";"    1826";"     377";"    1597";"    1348";"     249";"    3038";"     537"
"102";"PV28";"2007JJ00";"     119";"      26";"      27";"      25";"       6";"       8";"       8";"    3324";"    1905";"    1419";"      28";"     778";"    2156";"    1739";"     417";"    1720";"    1427";"     293";"    3292";"     503"
"103";"PV28";"2009JJ00";"     124";"      26";"      30";"      22";"       6";"       8";"       9";"    3463";"    1834";"    1629";"      28";"     221";"    2259";"    1658";"     601";"    1574";"    1291";"     283";"    3775";"     531"
"104";"PV29";"1995JJ00";"      27";"      33";"      41";"      11";"      11";"       0";"       4";"     611";"     464";"     147";"      23";"       .";"      95";"      80";"      15";"      57";"      46";"      11";"       .";"       ."
"105";"PV29";"1997JJ00";"      40";"      47";"      35";"       8";"       8";"       0";"       3";"     620";"     522";"      98";"      16";"       .";"     102";"      69";"      34";"      63";"      35";"      28";"       .";"       ."
"106";"PV29";"1999JJ00";"      37";"      35";"      44";"      14";"       3";"       0";"       3";"     475";"     410";"      65";"      13";"     143";"     156";"     132";"      25";"      93";"      82";"      11";"       .";"       ."
"107";"PV29";"2001JJ00";"      34";"      44";"      41";"       9";"       3";"       0";"       3";"     480";"     419";"      61";"      14";"     137";"     188";"     141";"      46";"     100";"      77";"      23";"     538";"      56"
